Estimated_Claim_Amount,Fraud_Flag,Litigation_Flag,Age_of_Driver,Vehicle_Age,Annual_Mileage,Driving_Experience_Years,Accident_Settlement_days,days_to_fnol,driver_risk_score,vehicle_risk,Claim_Type,Claim_Complexity,Region,Vehicle_Type,Status,Severity_Band,Gender,Occupation,ThirdParty_Role,TP_Injury_Severity
35448,1,0,73,11,10762,53,169,0,0,1,Collision,Medium,Manchester,Sedan,settled,Severe,Male,Retired,Unknown,No Injury
69188,0,0,18,14,15244,0,177,0,2,1,Weather,Medium,Leeds,Hatchback,settled,Severe,Female,Student,Passenger,Minor
7524,0,0,56,17,10435,37,99,4,0,1,Vandalism,Low,Birmingham,SUV,settled,Major,Female,Unemployed,Unknown,No Injury
1779,0,0,78,11,15174,59,89,0,0,1,Collision,Low,Leeds,Coupe,settled,Minor,Male,Retired,Unknown,No Injury
5122,0,0,78,7,13818,59,78,5,0,0,Collision,Low,Manchester,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
1787,0,0,68,15,11010,49,46,0,0,1,Collision,Low,Glasgow,Hatchback,settled,Minor,Female,Self-Employed,Unknown,No Injury
2163,0,0,30,11,13807,11,74,0,0,1,Collision,Low,Cardiff,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
34511,0,0,58,18,15016,39,120,4,0,1,Collision,Medium,Edinburgh,Sedan,settled,Severe,Female,Unemployed,Pedestrian,Minor
24293,0,0,28,19,8896,10,170,2,0,1,Vandalism,Medium,Manchester,Hatchback,settled,Severe,Female,Student,Passenger,Minor
4047,0,0,25,2,16454,7,45,5,0,0,Collision,Low,Bristol,Sedan,settled,Moderate,Male,Employed,Unknown,No Injury
30650,0,0,46,9,5415,25,-1271,1,0,0,Theft,Low,Manchester,Hatchback,open,Major,Male,Employed,Unknown,No Injury
10380,0,0,78,14,8573,59,148,2,0,1,Collision,Medium,Leeds,SUV,settled,Major,Female,Retired,Driver,Minor
103426,0,0,21,11,4719,1,105,0,2,1,Theft,Low,Birmingham,Sedan,settled,Severe,Female,Unemployed,Unknown,No Injury
2522,0,0,46,6,13756,27,60,3,0,0,Other,Low,Birmingham,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
5245,0,0,72,13,9010,51,46,0,0,1,Theft,Low,Glasgow,Sedan,settled,Minor,Male,Retired,Passenger,Minor
11757,0,0,35,9,7396,15,116,2,0,0,Theft,Medium,London,Sedan,settled,Moderate,Male,Employed,Passenger,Serious
36401,0,0,40,3,13514,20,197,3,0,0,Weather,Medium,Glasgow,Sedan,settled,Severe,Female,Unemployed,Unknown,No Injury
4412,0,0,25,10,12747,4,35,0,1,0,Collision,Low,Glasgow,Hatchback,settled,Moderate,Female,Employed,Passenger,Minor
2850,0,0,38,19,8389,17,53,0,0,1,Collision,Low,Manchester,SUV,settled,Minor,Male,Employed,Unknown,No Injury
2691,0,0,59,18,10779,39,72,0,0,1,Collision,Low,Edinburgh,Sedan,settled,Minor,Male,Unemployed,Pedestrian,Minor
1793,0,0,25,11,16469,4,32,0,1,1,Collision,Low,Manchester,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
49580,1,0,76,8,5716,55,-428,0,0,0,Weather,High,London,Motorcycle,open,Severe,Male,Retired,Unknown,No Injury
1530,0,0,39,20,15393,20,36,0,0,1,Collision,Low,Edinburgh,Hatchback,settled,Minor,Female,Self-Employed,Unknown,No Injury
2680,0,0,30,9,4425,12,58,1,0,0,Weather,Low,Birmingham,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
4086,0,0,69,10,12221,50,98,1,0,0,Collision,Medium,Cardiff,Sedan,settled,Moderate,Male,Retired,Unknown,No Injury
2065,0,0,61,15,13330,39,-1000,0,0,1,Collision,Low,Glasgow,Hatchback,open,Minor,Male,Retired,Unknown,No Injury
7251,0,0,36,11,17330,18,47,0,0,1,Weather,Low,Birmingham,SUV,settled,Moderate,Male,Employed,Driver,Minor
2347,0,0,45,20,4104,26,81,5,0,1,Vandalism,Low,Birmingham,SUV,settled,Moderate,Female,Employed,Unknown,No Injury
10371,0,0,77,1,8377,55,131,0,0,0,Collision,Medium,Glasgow,SUV,settled,Major,Male,Retired,Passenger,Minor
1802,0,0,51,20,13776,33,90,0,0,1,Collision,Low,Manchester,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
8599,1,0,31,17,11875,9,132,0,0,1,Theft,Medium,Cardiff,Hatchback,settled,Moderate,Male,Self-Employed,Unknown,No Injury
67164,0,0,49,14,10477,29,182,1,0,1,Fire,Medium,Liverpool,Sedan,settled,Major,Female,Employed,Unknown,No Injury
2289,0,0,65,0,15337,43,68,0,0,0,Weather,Low,London,Van,settled,Minor,Male,Retired,Pedestrian,Minor
9617,0,0,67,16,12780,48,62,0,0,1,Weather,Low,London,Motorcycle,settled,Moderate,Female,Retired,Unknown,No Injury
1740,0,0,56,6,9389,36,71,30,0,0,Collision,Low,Cardiff,Coupe,settled,Minor,Male,Employed,Passenger,Minor
4682,0,0,42,16,11389,20,50,3,0,1,Collision,Low,Bristol,Sedan,settled,Moderate,Male,Employed,Unknown,No Injury
17684,0,0,64,18,8873,42,83,0,0,1,Weather,Low,Leeds,Van,settled,Major,Male,Employed,Unknown,No Injury
4092,0,0,37,17,6321,18,-4,5,0,1,Collision,Low,Newcastle,Hatchback,open,Moderate,Male,Student,Pedestrian,Minor
58499,0,0,33,4,9888,13,519,2,0,0,Weather,High,Liverpool,Van,settled,Severe,Female,Employed,Unknown,No Injury
11791,0,0,77,14,7514,57,134,6,0,1,Collision,Medium,Leeds,SUV,settled,Major,Male,Retired,Driver,Minor
2214,0,0,41,11,16246,19,33,0,0,1,Weather,Low,Edinburgh,Van,settled,Minor,Male,Employed,Passenger,Serious
2437,0,0,34,13,13512,16,77,2,0,1,Weather,Low,Bristol,Hatchback,settled,Minor,Male,Unemployed,Unknown,No Injury
32873,0,0,64,13,17865,44,114,2,0,1,Collision,Low,Edinburgh,Sedan,settled,Severe,Female,Retired,Unknown,No Injury
19966,0,0,63,9,11932,41,167,1,0,0,Vandalism,High,Bristol,SUV,settled,Severe,Male,Employed,Passenger,Minor
3957,0,0,77,19,15293,57,61,5,0,1,Collision,Low,Manchester,Van,settled,Moderate,Female,Retired,Unknown,No Injury
9112,0,0,36,4,4909,15,64,0,0,0,Collision,Low,Leeds,SUV,settled,Major,Male,Self-Employed,Unknown,No Injury
2737,0,0,30,2,11465,10,46,0,0,0,Collision,Low,Edinburgh,Motorcycle,settled,Minor,Male,Student,Driver,Minor
6039,0,0,21,18,8734,0,56,1,2,1,Collision,Low,Cardiff,Hatchback,settled,Moderate,Male,Unemployed,Pedestrian,Minor
44927,0,0,29,19,10545,9,64,2,0,1,Theft,Low,Bristol,Coupe,settled,Major,Male,Student,Driver,Minor
2852,0,1,28,2,15500,7,86,0,0,0,Other,Low,Edinburgh,Van,settled,Minor,Female,Unemployed,Driver,Minor
1387,0,0,18,9,17936,0,56,0,2,0,Vandalism,Low,Glasgow,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1569,0,0,62,6,5002,43,59,2,0,0,Vandalism,Low,Edinburgh,Van,settled,Minor,Male,Employed,Unknown,No Injury
13866,0,0,42,4,5568,24,61,3,0,0,Fire,Low,Glasgow,Motorcycle,settled,Minor,Male,Employed,Unknown,No Injury
6194,0,1,71,11,12503,50,40,1,0,1,Collision,Low,Bristol,Hatchback,settled,Moderate,Male,Retired,Passenger,Minor
2741,0,1,33,14,18129,13,41,4,0,1,Weather,Low,Manchester,Coupe,settled,Minor,Female,Self-Employed,Pedestrian,Serious
1705,0,0,56,5,9184,38,44,0,0,0,Other,Low,Newcastle,Van,settled,Minor,Female,Unemployed,Unknown,No Injury
2566,0,0,72,2,10246,50,-502,4,0,0,Weather,Medium,Cardiff,Hatchback,open,Minor,Male,Retired,Unknown,No Injury
2770,0,0,44,20,11576,22,94,4,0,1,Other,Low,Bristol,Hatchback,settled,Minor,Male,Employed,Unknown,No Injury
1920,0,0,71,8,16293,50,38,0,0,0,Collision,Low,London,Hatchback,settled,Minor,Female,Retired,Pedestrian,Minor
13473,0,0,33,1,9162,11,114,0,0,0,Collision,Medium,London,SUV,settled,Major,Male,Employed,Driver,Minor
1589,1,0,38,18,11706,17,83,4,0,1,Collision,Low,Liverpool,Van,settled,Minor,Female,Employed,Unknown,No Injury
2341,0,1,59,14,11404,37,160,2,0,1,Collision,Medium,Liverpool,SUV,settled,Minor,Female,Self-Employed,Unknown,No Injury
5984,0,0,73,8,17166,54,-1050,0,0,0,Collision,Low,Glasgow,SUV,open,Moderate,Female,Retired,Unknown,No Injury
7043,0,0,43,9,8983,23,46,2,0,0,Collision,Low,Glasgow,Sedan,settled,Moderate,Male,Self-Employed,Unknown,No Injury
20178,0,0,43,20,12080,25,63,0,0,1,Theft,Low,Cardiff,Hatchback,settled,Moderate,Male,Employed,Unknown,No Injury
1815,0,0,70,19,16290,52,40,1,0,1,Collision,Low,Cardiff,Hatchback,settled,Minor,Female,Retired,Driver,Minor
1234,0,0,76,13,8099,57,48,1,0,1,Vandalism,Low,Leeds,SUV,settled,Minor,Female,Retired,Unknown,No Injury
2215,0,0,52,8,18999,34,80,2,0,0,Collision,Low,Manchester,Coupe,settled,Minor,Female,Employed,Unknown,No Injury
2505,0,0,24,2,12701,2,55,1,2,0,Collision,Low,Liverpool,Coupe,settled,Minor,Female,Employed,Pedestrian,Minor
2171,0,0,37,4,17981,18,92,3,0,0,Collision,Low,Edinburgh,Van,settled,Minor,Female,Employed,Unknown,No Injury
15812,0,0,38,11,9089,18,42,0,0,1,Theft,Low,London,Van,settled,Moderate,Male,Unemployed,Passenger,Minor
6227,0,0,57,9,20660,36,83,6,0,0,Collision,Low,Liverpool,Sedan,settled,Moderate,Female,Self-Employed,Unknown,No Injury
9288,0,0,60,8,14092,42,95,7,0,0,Weather,Low,Cardiff,Sedan,settled,Moderate,Male,Self-Employed,Unknown,No Injury
1525,0,0,61,3,14356,42,76,0,0,0,Collision,Low,Cardiff,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
8602,0,0,78,6,9861,57,56,0,0,0,Collision,Low,Birmingham,SUV,settled,Major,Male,Retired,Unknown,No Injury
2082,0,0,20,6,12926,2,81,3,2,0,Collision,Low,Bristol,Hatchback,settled,Minor,Female,Student,Passenger,Minor
115138,0,0,71,13,9928,53,115,1,0,1,Fire,Medium,Liverpool,Hatchback,settled,Major,Female,Employed,Unknown,No Injury
25475,0,0,40,18,15618,18,107,0,0,1,Weather,Medium,Glasgow,Motorcycle,settled,Major,Female,Self-Employed,Unknown,No Injury
78205,0,0,52,15,17695,34,213,3,0,1,Theft,High,Cardiff,Hatchback,settled,Severe,Male,Self-Employed,Unknown,No Injury
11001,0,0,75,19,14198,56,627,1,0,1,Theft,Low,London,Sedan,open,Moderate,Male,Retired,Driver,Minor
28044,0,0,65,4,14749,45,80,0,0,0,Fire,Low,Cardiff,Coupe,settled,Moderate,Male,Retired,Unknown,No Injury
2542,0,0,24,16,15041,3,64,0,2,1,Collision,Low,Cardiff,SUV,settled,Minor,Female,Employed,Passenger,Minor
155117,0,0,78,5,4858,57,580,0,0,0,Weather,High,Cardiff,Sedan,settled,Catastrophic,Female,Self-Employed,Unknown,No Injury
1804,0,1,44,14,13445,25,100,3,0,1,Collision,Medium,Birmingham,SUV,settled,Minor,Female,Self-Employed,Unknown,No Injury
10744,0,0,52,5,8827,32,119,0,0,0,Collision,Medium,Leeds,SUV,settled,Major,Male,Employed,Unknown,No Injury
1809,0,0,37,6,14036,16,405,2,0,0,Collision,High,Birmingham,Motorcycle,settled,Minor,Male,Self-Employed,Unknown,No Injury
1469,0,0,70,18,14831,51,44,2,0,1,Collision,Low,Bristol,Sedan,settled,Minor,Female,Retired,Pedestrian,Minor
28319,0,0,28,7,10185,6,151,1,0,0,Collision,Medium,London,Sedan,settled,Severe,Female,Employed,Unknown,No Injury
5621,0,1,74,4,16587,55,169,0,0,0,Collision,Medium,London,Motorcycle,settled,Moderate,Female,Retired,Unknown,No Injury
5256,0,0,31,7,14631,9,52,4,0,0,Theft,Low,Bristol,Hatchback,settled,Minor,Male,Unemployed,Unknown,No Injury
5990,0,0,27,11,10419,8,145,0,0,1,Vandalism,Medium,Birmingham,Hatchback,settled,Major,Male,Employed,Driver,Minor
1125,0,0,52,2,11644,32,86,1,0,0,Collision,Low,Bristol,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
2546,0,0,19,17,9735,0,60,1,2,1,Weather,Low,Manchester,Sedan,settled,Minor,Female,Student,Unknown,No Injury
7944,0,0,22,15,9073,0,451,3,2,1,Weather,High,Leeds,Sedan,settled,Moderate,Female,Student,Unknown,No Injury
1707,0,0,26,4,13705,8,86,0,0,0,Collision,Low,London,SUV,settled,Minor,Male,Employed,Pedestrian,Minor
38000,0,0,44,6,12827,26,485,0,0,0,Collision,High,Leeds,Hatchback,settled,Severe,Male,Employed,Unknown,No Injury
4983,0,0,18,15,7840,0,47,2,2,1,Collision,Low,Manchester,Sedan,settled,Moderate,Male,Student,Unknown,No Injury
9668,0,0,40,2,22026,21,83,1,0,0,Collision,Medium,Glasgow,SUV,settled,Major,Male,Self-Employed,Unknown,No Injury
3119,0,0,57,12,7443,38,59,0,0,1,Weather,Low,Newcastle,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
6996,0,0,44,20,9526,22,77,0,0,1,Weather,Low,Birmingham,SUV,settled,Moderate,Male,Employed,Unknown,No Injury
18312,0,0,34,13,20922,14,186,2,0,1,Collision,Medium,Newcastle,Hatchback,settled,Major,Male,Unemployed,Passenger,Minor
2513,0,0,52,3,11188,30,34,0,0,0,Other,Low,Liverpool,Van,settled,Minor,Female,Employed,Passenger,Minor
1069,0,0,49,13,17274,30,173,1,0,1,Collision,Medium,Leeds,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
15497,0,0,40,0,17460,22,65,0,0,0,Collision,Medium,Edinburgh,Sedan,settled,Major,Male,Self-Employed,Pedestrian,Minor
1884,0,0,35,14,11456,13,48,2,0,1,Weather,Low,Edinburgh,Van,settled,Minor,Male,Employed,Unknown,No Injury
4316,0,0,41,5,13437,20,93,2,0,0,Collision,Low,Newcastle,SUV,settled,Moderate,Male,Employed,Unknown,No Injury
6154,0,0,71,19,12914,53,58,0,0,1,Other,Low,Manchester,SUV,settled,Moderate,Female,Retired,Unknown,No Injury
3477,1,0,61,9,8797,42,47,1,0,0,Weather,Low,Birmingham,Motorcycle,settled,Minor,Female,Self-Employed,Pedestrian,Minor
38037,0,0,50,12,14164,28,155,0,0,1,Collision,Medium,Bristol,Hatchback,settled,Severe,Female,Unemployed,Unknown,No Injury
2400,0,0,20,13,4843,1,41,7,2,1,Collision,Low,Edinburgh,Sedan,settled,Minor,Female,Student,Unknown,No Injury
2027,0,0,53,4,13789,31,34,0,0,0,Collision,Low,Leeds,Sedan,settled,Minor,Male,Unemployed,Passenger,Minor
2573,0,0,30,14,8518,10,96,7,0,1,Other,Low,Manchester,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
2108,0,0,37,20,10169,15,35,0,0,1,Vandalism,Low,Manchester,Coupe,settled,Moderate,Male,Employed,Pedestrian,Minor
2070,0,0,68,7,9724,48,73,3,0,0,Collision,Low,Edinburgh,SUV,settled,Minor,Male,Retired,Unknown,No Injury
2194,0,0,66,4,13547,46,33,3,0,0,Weather,Low,Leeds,Van,settled,Minor,Female,Retired,Unknown,No Injury
28239,0,1,59,5,17134,40,134,1,0,0,Theft,Medium,Glasgow,Hatchback,settled,Major,Male,Retired,Passenger,Minor
5532,0,0,18,7,7685,0,46,0,2,0,Weather,Low,Cardiff,Hatchback,settled,Moderate,Female,Student,Unknown,No Injury
1759,0,0,58,4,13257,40,102,0,0,0,Vandalism,Medium,Leeds,Van,settled,Minor,Female,Employed,Unknown,No Injury
1657,0,1,36,0,4265,18,69,1,0,0,Collision,Low,London,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
3485,0,0,32,8,5341,10,75,0,0,0,Collision,Low,Bristol,Coupe,settled,Moderate,Male,Employed,Unknown,No Injury
2228,0,0,73,1,5686,52,66,3,0,0,Collision,Low,Leeds,SUV,settled,Minor,Male,Retired,Unknown,No Injury
2960,0,0,55,5,13121,37,87,3,0,0,Collision,Low,Newcastle,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
2116,0,0,70,17,500,50,44,0,0,1,Collision,Low,Glasgow,Van,settled,Minor,Male,Retired,Unknown,No Injury
2631,0,0,73,14,6115,51,42,0,0,1,Collision,Low,Cardiff,Motorcycle,settled,Minor,Male,Retired,Unknown,No Injury
1726,0,0,56,6,4994,36,73,0,0,0,Collision,Low,Cardiff,Coupe,settled,Minor,Male,Employed,Pedestrian,Minor
13797,0,0,19,12,9454,0,85,2,2,1,Collision,Low,Edinburgh,SUV,settled,Major,Female,Student,Unknown,No Injury
3997,0,0,56,19,2968,36,41,1,0,1,Weather,Low,Birmingham,SUV,settled,Minor,Female,Self-Employed,Unknown,No Injury
2776,0,0,19,12,15242,0,74,0,2,1,Weather,Low,Manchester,Van,settled,Minor,Male,Student,Pedestrian,Minor
15137,0,1,46,9,8164,28,69,4,0,0,Vandalism,Low,Manchester,SUV,settled,Severe,Male,Employed,Passenger,Minor
28617,0,0,49,1,5696,31,53,0,0,0,Fire,Low,Glasgow,Sedan,settled,Moderate,Female,Self-Employed,Driver,Minor
6095,0,0,39,16,6477,17,41,0,0,1,Collision,Low,Edinburgh,Hatchback,settled,Moderate,Male,Employed,Unknown,No Injury
22080,0,0,42,11,11218,22,134,3,0,1,Weather,Medium,Manchester,SUV,settled,Major,Female,Self-Employed,Passenger,Minor
34972,0,0,35,13,17016,16,100,0,0,1,Collision,Low,Cardiff,Hatchback,settled,Severe,Male,Self-Employed,Driver,Minor
1958,0,0,29,11,11056,9,68,0,0,1,Collision,Low,Manchester,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
12243,0,0,60,7,13423,40,66,0,0,0,Theft,Low,Leeds,Coupe,settled,Moderate,Male,Self-Employed,Unknown,No Injury
2371,0,0,60,17,10210,39,121,0,0,1,Collision,Medium,Glasgow,Coupe,settled,Minor,Male,Unemployed,Unknown,No Injury
1505,0,0,65,18,16502,45,88,1,0,1,Collision,Medium,London,SUV,settled,Minor,Female,Retired,Pedestrian,Minor
6390,0,0,24,0,14247,5,38,1,1,0,Collision,Low,Cardiff,Sedan,settled,Moderate,Male,Self-Employed,Unknown,No Injury
2123,0,0,67,19,13317,47,41,2,0,1,Weather,Low,Edinburgh,Hatchback,settled,Minor,Male,Retired,Unknown,No Injury
1680,0,0,44,12,8684,25,68,2,0,1,Collision,Low,Birmingham,Hatchback,settled,Minor,Male,Self-Employed,Unknown,No Injury
8419,0,0,46,7,13817,28,135,6,0,0,Theft,Medium,London,Hatchback,settled,Moderate,Female,Employed,Unknown,No Injury
3952,0,0,31,9,11003,11,39,1,0,0,Collision,Low,Manchester,Van,settled,Moderate,Female,Self-Employed,Pedestrian,Minor
2843,0,1,37,5,11792,18,57,1,0,0,Weather,Low,Bristol,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
1885,0,1,28,18,6280,8,71,0,0,1,Collision,Low,Leeds,Hatchback,settled,Minor,Female,Employed,Passenger,Minor
28721,0,0,53,2,12012,31,173,3,0,0,Collision,Medium,Manchester,Van,settled,Severe,Female,Retired,Unknown,No Injury
1467,0,0,23,4,15609,2,69,0,2,0,Vandalism,Low,Birmingham,Hatchback,settled,Minor,Female,Employed,Unknown,No Injury
2163,1,0,47,18,9609,28,48,3,0,1,Collision,Low,Leeds,SUV,settled,Minor,Male,Employed,Pedestrian,Minor
5528,0,0,74,12,12428,53,56,7,0,1,Collision,Low,Edinburgh,Hatchback,settled,Moderate,Male,Retired,Unknown,No Injury
2864,0,0,34,20,12562,15,72,0,0,1,Collision,Low,Bristol,Sedan,settled,Minor,Female,Unemployed,Unknown,No Injury
1494,0,1,21,20,9355,0,38,3,2,1,Collision,Low,Newcastle,SUV,settled,Minor,Male,Employed,Unknown,No Injury
10047,0,0,46,18,7896,24,68,0,0,1,Collision,Medium,Manchester,Hatchback,settled,Major,Male,Employed,Driver,Minor
3504,1,0,68,13,14000,47,43,2,0,1,Collision,Low,Newcastle,Hatchback,settled,Moderate,Female,Retired,Unknown,No Injury
2121,0,0,78,19,12099,57,1380,1,0,1,Collision,Low,Edinburgh,Coupe,open,Minor,Female,Retired,Unknown,No Injury
43857,0,0,33,14,7385,12,539,3,0,1,Collision,High,Birmingham,Hatchback,settled,Severe,Female,Employed,Unknown,No Injury
1828,0,0,31,10,11497,9,55,0,0,0,Collision,Low,Newcastle,Coupe,settled,Minor,Female,Employed,Unknown,No Injury
8176,0,0,42,9,11037,24,1946,0,0,0,Weather,Low,Leeds,Coupe,open,Moderate,Male,Student,Unknown,No Injury
4938,0,1,29,19,13117,11,91,3,0,1,Collision,Low,Manchester,Sedan,settled,Moderate,Male,Student,Passenger,Minor
39846,0,0,22,18,14631,1,236,0,2,1,Theft,High,London,Motorcycle,settled,Major,Male,Student,Pedestrian,Minor
45567,0,0,79,3,19557,58,232,1,0,0,Vandalism,High,Leeds,Sedan,settled,Catastrophic,Female,Retired,Unknown,No Injury
12744,0,1,43,3,4920,22,73,1,0,0,Collision,Low,Bristol,Sedan,settled,Major,Male,Self-Employed,Unknown,No Injury
9669,0,0,55,9,17380,37,86,0,0,0,Collision,Low,Newcastle,Sedan,settled,Moderate,Female,Self-Employed,Unknown,No Injury
29824,0,0,55,8,13159,35,80,0,0,0,Weather,Low,London,Hatchback,settled,Major,Female,Self-Employed,Pedestrian,Minor
11285,0,0,42,18,6947,22,144,1,0,1,Collision,Medium,Edinburgh,Motorcycle,settled,Major,Female,Employed,Unknown,No Injury
19261,0,0,52,5,17781,34,218,0,0,0,Collision,High,Glasgow,Coupe,settled,Major,Female,Employed,Pedestrian,Minor
5256,0,0,46,1,17336,27,47,0,0,0,Theft,Low,Glasgow,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
27423,0,0,58,9,17267,37,86,1,0,0,Theft,Low,Manchester,Hatchback,settled,Major,Female,Employed,Driver,Minor
1737,0,0,32,15,10844,12,76,1,0,1,Collision,Low,Newcastle,Sedan,settled,Minor,Male,Employed,Passenger,Serious
2010,0,0,18,17,12014,0,78,0,2,1,Collision,Low,London,Sedan,settled,Minor,Female,Employed,Unknown,No Injury
33187,0,0,32,18,15935,11,206,0,0,1,Collision,High,Birmingham,Sedan,settled,Severe,Female,Employed,Pedestrian,Minor
30864,0,0,43,15,7758,25,428,1,0,1,Theft,High,Cardiff,Coupe,settled,Major,Male,Employed,Unknown,No Injury
4340,0,1,39,3,12346,19,-1776,0,0,0,Vandalism,Medium,Birmingham,Hatchback,open,Major,Female,Employed,Unknown,No Injury
5302,0,0,42,12,10095,23,75,2,0,1,Weather,Low,Cardiff,Hatchback,settled,Moderate,Female,Employed,Unknown,No Injury
1040,0,0,62,7,16127,42,54,2,0,0,Vandalism,Low,Bristol,Hatchback,settled,Minor,Male,Unemployed,Pedestrian,Serious
2699,0,0,69,9,13398,51,35,2,0,0,Collision,Low,Birmingham,Van,settled,Minor,Female,Retired,Unknown,No Injury
66954,0,1,43,4,20426,25,92,0,0,0,Theft,Low,Liverpool,Hatchback,settled,Severe,Male,Employed,Unknown,No Injury
4150,0,0,48,11,4807,27,74,0,0,1,Theft,Low,London,Sedan,settled,Minor,Male,Employed,Driver,Minor
139375,0,0,69,16,8632,47,236,1,0,1,Theft,Medium,Edinburgh,SUV,settled,Severe,Male,Self-Employed,Unknown,No Injury
7389,0,0,47,10,10427,26,59,3,0,0,Weather,Low,Leeds,Sedan,settled,Moderate,Male,Self-Employed,Unknown,No Injury
11551,0,0,47,15,11469,28,92,5,0,1,Fire,Low,Bristol,Sedan,settled,Minor,Male,Employed,Unknown,No Injury
10412,0,0,76,20,14079,58,85,0,0,1,Collision,Low,Liverpool,Sedan,settled,Major,Female,Retired,Unknown,No Injury
3000,0,0,53,20,12732,31,83,0,0,1,Weather,Low,Newcastle,Hatchback,settled,Minor,Female,Self-Employed,Unknown,No Injury
2237,0,1,65,19,14429,44,84,0,0,1,Collision,Low,Birmingham,SUV,settled,Minor,Male,Retired,Pedestrian,Serious
2230,1,0,52,1,10386,33,81,0,0,0,Collision,Medium,Glasgow,SUV,settled,Minor,Male,Unemployed,Unknown,No Injury
2237,0,1,65,19,14429,44,84,0,0,1,Collision,Low,Birmingham,SUV,settled,Minor,Male,Retired,Driver,Minor
5888,0,0,40,6,10703,22,164,1,0,0,Theft,Medium,Newcastle,Coupe,settled,Minor,Male,Employed,Passenger,Minor
6185,0,0,28,9,6317,10,80,0,0,0,Weather,Low,Newcastle,Motorcycle,settled,Moderate,Female,Employed,Pedestrian,Minor
3027,0,0,74,3,14337,55,75,0,0,0,Collision,Low,Cardiff,Sedan,settled,Minor,Male,Retired,Unknown,No Injury
2741,0,1,22,18,17065,1,38,4,2,1,Collision,Low,Birmingham,SUV,settled,Minor,Female,Employed,Unknown,No Injury
9967,0,0,34,17,10374,13,74,6,0,1,Collision,Low,Glasgow,SUV,settled,Major,Male,Employed,Unknown,No Injury
4448,0,0,77,1,8377,55,61,0,0,0,Collision,Low,Glasgow,SUV,settled,Moderate,Male,Retired,Unknown,No Injury
4093,0,0,51,1,1484,31,125,0,0,0,Collision,Medium,Newcastle,SUV,settled,Moderate,Male,Employed,Unknown,No Injury
2817,0,0,62,6,5002,43,45,0,0,0,Theft,Low,Edinburgh,Van,settled,Minor,Male,Employed,Pedestrian,Minor
5554,0,0,28,19,21534,6,40,0,0,1,Weather,Low,Liverpool,Motorcycle,settled,Moderate,Female,Employed,Unknown,No Injury
23288,0,0,41,7,12756,19,1646,4,0,0,Fire,Low,Glasgow,Van,open,Minor,Male,Employed,Unknown,No Injury
6103,0,0,77,8,8190,57,91,0,0,0,Weather,Low,Bristol,SUV,settled,Moderate,Female,Retired,Unknown,No Injury
3382,0,0,74,6,14424,54,82,0,0,0,Weather,Low,Newcastle,Hatchback,settled,Minor,Female,Retired,Passenger,Minor
1974,0,0,50,13,13164,28,84,0,0,1,Collision,Low,Leeds,Sedan,settled,Minor,Male,Student,Passenger,Minor
2210,0,0,27,9,7799,7,66,0,0,0,Collision,Low,London,Hatchback,settled,Minor,Male,Student,Unknown,No Injury
6290,0,0,19,11,13712,0,69,0,2,1,Weather,Low,Liverpool,Hatchback,settled,Moderate,Male,Student,Unknown,No Injury
87498,0,0,22,14,8572,3,413,0,2,1,Theft,High,Liverpool,Sedan,settled,Severe,Male,Student,Unknown,No Injury
3708,0,0,63,5,16663,41,75,2,0,0,Collision,Low,Edinburgh,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
1620,0,0,23,10,17985,2,51,1,2,0,Collision,Low,Manchester,Sedan,settled,Minor,Female,Self-Employed,Driver,Minor
8743,0,0,61,14,10314,39,124,2,0,1,Theft,Medium,Birmingham,Sedan,settled,Moderate,Male,Self-Employed,Pedestrian,Serious
4225,0,0,50,14,14640,32,123,3,0,1,Collision,Medium,Manchester,Van,settled,Moderate,Male,Employed,Unknown,No Injury
5994,0,1,79,0,10320,60,135,2,0,0,Weather,Medium,Cardiff,Sedan,settled,Moderate,Female,Retired,Unknown,No Injury
45629,0,0,57,2,13315,35,2055,0,0,0,Collision,Medium,Birmingham,Sedan,open,Severe,Male,Retired,Unknown,No Injury
16039,0,0,62,14,7471,42,68,5,0,1,Other,Low,Birmingham,Hatchback,settled,Major,Female,Retired,Unknown,No Injury
18094,0,0,22,8,6643,2,64,1,2,0,Weather,Low,Leeds,Hatchback,settled,Major,Male,Student,Unknown,No Injury
